,0,1
0,Clothing ,0
1,Footwear ,1
2,Clothing ,0
3,Clothing ,0
4,Footwear ,1
5,Clothing ,0
6,Footwear ,1
7,Clothing ,0
8,Clothing ,0
9,Pens & Stationery ,2
10,Clothing ,0
11,Footwear ,1
12,Clothing ,0
13,Clothing ,0
14,Clothing ,0
15,Footwear ,1
16,Clothing ,0
17,Clothing ,0
18,Clothing ,0
19,Clothing ,0
20,Pens & Stationery ,2
21,Pens & Stationery ,2
22,Pens & Stationery ,2
23,Clothing ,0
24,Pens & Stationery ,2
25,Clothing ,0
26,"Bags, Wallets & Belts ",3
27,Clothing ,0
28,Footwear ,1
29,Home Decor & Festive Needs ,4
30,Automotive ,5
31,Tools & Hardware ,6
32,Tools & Hardware ,6
33,Clothing ,0
34,"Bags, Wallets & Belts ",3
35,"Bags, Wallets & Belts ",3
36,Footwear ,1
37,Baby Care ,7
38,Baby Care ,7
39,Mobiles & Accessories ,8
40,Clothing ,0
41,Pens & Stationery ,2
42,Baby Care ,7
43,Home Decor & Festive Needs ,4
44,Clothing ,0
45,Clothing ,0
46,Watches ,9
47,Footwear ,1
48,Watches ,9
49,Footwear ,1
50,Watches ,9
51,Watches ,9
52,Watches ,9
53,Clothing ,0
54,Footwear ,1
55,Watches ,9
56,Footwear ,1
57,Watches ,9
58,Watches ,9
59,Footwear ,1
60,Footwear ,1
61,Watches ,9
62,Footwear ,1
63,Footwear ,1
64,Watches ,9
65,Footwear ,1
66,Watches ,9
67,Footwear ,1
68,Footwear ,1
69,Clothing ,0
70,Footwear ,1
71,Footwear ,1
72,Watches ,9
73,Footwear ,1
74,Watches ,9
75,Footwear ,1
76,Footwear ,1
77,Watches ,9
78,Footwear ,1
79,Footwear ,1
80,Footwear ,1
81,Watches ,9
82,Footwear ,1
83,Footwear ,1
84,Watches ,9
85,Footwear ,1
86,Footwear ,1
87,Watches ,9
88,Clothing ,0
89,Footwear ,1
90,Watches ,9
91,Footwear ,1
92,Watches ,9
93,Footwear ,1
94,Footwear ,1
95,Watches ,9
96,Watches ,9
97,Footwear ,1
98,Footwear ,1
99,Footwear ,1
100,Footwear ,1
101,Watches ,9
102,Watches ,9
103,Footwear ,1
104,Watches ,9
105,Watches ,9
106,Watches ,9
107,Footwear ,1
108,Watches ,9
109,Footwear ,1
110,Watches ,9
111,Clothing ,0
112,Footwear ,1
113,Footwear ,1
114,Watches ,9
115,Footwear ,1
116,Footwear ,1
117,Watches ,9
118,Footwear ,1
119,Footwear ,1
120,Watches ,9
121,Footwear ,1
122,Watches ,9
123,Footwear ,1
124,Watches ,9
125,Footwear ,1
126,Clothing ,0
127,Footwear ,1
128,Watches ,9
129,Watches ,9
130,Watches ,9
131,Footwear ,1
132,Footwear ,1
133,Footwear ,1
134,Watches ,9
135,Watches ,9
136,Footwear ,1
137,Watches ,9
138,Footwear ,1
139,Footwear ,1
140,Footwear ,1
141,Watches ,9
142,Footwear ,1
143,Clothing ,0
144,Footwear ,1
145,Footwear ,1
146,Watches ,9
147,Footwear ,1
148,Watches ,9
149,Footwear ,1
150,Footwear ,1
151,Watches ,9
152,Footwear ,1
153,Watches ,9
154,Footwear ,1
155,Footwear ,1
156,Watches ,9
157,Footwear ,1
158,Footwear ,1
159,Watches ,9
160,Footwear ,1
161,Watches ,9
162,Watches ,9
163,Footwear ,1
164,Footwear ,1
165,Footwear ,1
166,Footwear ,1
167,Footwear ,1
168,Watches ,9
169,Footwear ,1
170,Footwear ,1
171,Watches ,9
172,Footwear ,1
173,Watches ,9
174,Footwear ,1
175,Watches ,9
176,Footwear ,1
177,Watches ,9
178,Footwear ,1
179,Watches ,9
180,Footwear ,1
181,Footwear ,1
182,Watches ,9
183,Footwear ,1
184,Watches ,9
185,Footwear ,1
186,Footwear ,1
187,Footwear ,1
188,Footwear ,1
189,Footwear ,1
190,Footwear ,1
191,Watches ,9
192,Footwear ,1
193,Watches ,9
194,Footwear ,1
195,Watches ,9
196,Footwear ,1
197,Watches ,9
198,Footwear ,1
199,Footwear ,1
200,Footwear ,1
201,Watches ,9
202,Footwear ,1
203,Footwear ,1
204,Watches ,9
205,Footwear ,1
206,Watches ,9
207,Footwear ,1
208,Watches ,9
209,Footwear ,1
210,Watches ,9
211,Footwear ,1
212,Watches ,9
213,Footwear ,1
214,Footwear ,1
215,Footwear ,1
216,Watches ,9
217,Watches ,9
218,Footwear ,1
219,Watches ,9
220,Footwear ,1
221,Watches ,9
222,Watches ,9
223,Footwear ,1
224,Watches ,9
225,Footwear ,1
226,Watches ,9
227,Footwear ,1
228,Watches ,9
229,Footwear ,1
230,Footwear ,1
231,Footwear ,1
232,Footwear ,1
233,Watches ,9
234,Footwear ,1
235,Footwear ,1
236,Watches ,9
237,Footwear ,1
238,Watches ,9
239,Watches ,9
240,Footwear ,1
241,Footwear ,1
242,Footwear ,1
243,Watches ,9
244,Footwear ,1
245,Watches ,9
246,Footwear ,1
247,Watches ,9
248,Footwear ,1
249,Watches ,9
250,Footwear ,1
251,Watches ,9
252,Watches ,9
253,Footwear ,1
254,Clothing ,0
255,Clothing ,0
256,Pens & Stationery ,2
257,Clothing ,0
258,Clothing ,0
259,Clothing ,0
260,Mobiles & Accessories ,8
261,Toys & School Supplies ,10
262,Footwear ,1
263,Footwear ,1
264,Mobiles & Accessories ,8
265,Jewellery ,11
266,Jewellery ,11
267,Jewellery ,11
268,Toys & School Supplies ,10
269,Clothing ,0
270,Jewellery ,11
271,Jewellery ,11
272,Footwear ,1
273,Footwear ,1
274,Clothing ,0
275,"Bags, Wallets & Belts ",3
276,"Bags, Wallets & Belts ",3
277,"Bags, Wallets & Belts ",3
278,Clothing ,0
279,Home Decor & Festive Needs ,4
280,Clothing ,0
281,Clothing ,0
282,Clothing ,0
283,Jewellery ,11
284,Jewellery ,11
285,Jewellery ,11
286,Jewellery ,11
287,Clothing ,0
288,Jewellery ,11
289,Footwear ,1
290,Clothing ,0
291,Clothing ,0
292,Clothing ,0
293,Home Decor & Festive Needs ,4
294,Jewellery ,11
295,Jewellery ,11
296,Clothing ,0
